<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.06	90659.24	90684.72	90407.93	90421.25	86400	0	45
2025.09.07	90421.23	90734.62	90343.68	90615.30	86399	0	45
2025.09.08	90615.28	90674.09	90391.71	90652.13	86400	0	45
2025.09.09	90652.11	90996.60	90554.05	90827.75	86400	0	45
2025.09.10	90827.73	91431.02	90816.73	91362.79	86401	0	45
2025.09.11	91362.77	91426.03	91219.78	91385.75	86400	0	45
2025.09.12	91385.73	91502.34	91225.39	91259.94	86400	0	45
2025.09.13	91259.92	91756.51	91254.64	91749.87	75218	0	45
2025.09.14	91749.85	91804.89	91311.56	91433.46	86062	0	45
2025.09.15	91433.44	91553.13	91318.01	91380.69	86400	0	45
2025.09.16	91380.67	91779.08	91272.79	91773.06	86401	0	45
2025.09.17	91773.04	91973.37	91678.71	91848.10	86400	0	45
2025.09.18	91848.08	91931.65	91719.24	91786.08	86401	0	45
2025.09.19	91786.06	92197.76	91770.90	91788.74	86400	0	45
2025.09.20	91788.72	91804.51	91607.07	91729.45	75730	0	45
2025.09.21	91729.43	91877.38	91620.36	91783.90	86143	0	45
2025.09.22	91783.88	91825.74	91479.92	91541.00	86401	0	45
2025.09.23	91540.98	91633.53	91322.42	91344.78	86400	0	45
2025.09.24	91344.76	91542.15	91244.25	91524.47	86400	0	45
2025.09.25	91524.45	91669.04	91416.49	91523.96	86400	0	45
2025.09.26	91523.94	91768.57	91333.80	91735.31	86400	0	45
2025.09.27	91735.29	91776.23	91454.35	91532.06	86387	0	45
2025.09.28	91532.04	91588.12	91191.35	91309.87	86399	0	45
2025.09.29	91309.85	91593.62	91254.69	91265.79	86400	0	45
2025.09.30	91265.77	91612.20	91249.33	91471.75	86400	0	45
2025.10.01	91471.73	91627.74	91335.22	91557.70	86401	0	45
2025.10.02	91557.68	91775.20	91468.45	91730.98	86400	0	45
2025.10.03	91730.96	92462.88	91729.36	92389.56	86400	0	45
2025.10.04	92389.54	92389.54	92066.83	92149.35	85821	0	45
2025.10.05	92149.33	92708.54	92122.85	92647.38	86338	0	45
2025.10.06	92647.36	93030.40	92625.04	92832.78	86399	0	45
2025.10.07	92832.76	92862.92	92602.41	92602.41	86400	0	45
2025.10.08	92602.39	93112.49	92600.97	93111.65	86400	0	45
2025.10.09	93111.63	93194.73	92793.65	92794.82	86401	0	45
2025.10.10	92794.80	93223.98	92778.54	93171.07	86400	0	45
2025.10.11	93171.05	93471.10	93076.50	93413.95	86400	0	45
2025.10.12	93413.93	93680.83	93402.71	93582.25	86259	0	45
2025.10.13	93582.23	93757.30	93511.45	93688.80	86400	0	45
2025.10.14	93688.78	93876.57	93570.54	93692.59	86400	0	45
2025.10.15	93692.57	93704.06	93509.20	93609.96	86401	0	45
2025.10.16	93609.94	93777.20	93536.94	93748.77	86400	0	45
2025.10.17	93748.75	93748.75	93433.04	93433.04	86400	0	45
2025.10.18	93433.02	93565.28	93358.58	93486.03	86400	0	45
2025.10.19	93486.01	93642.84	93387.36	93475.45	85161	0	45
2025.10.20	93475.43	93630.28	93381.20	93424.13	86401	0	45
2025.10.21	93424.11	93808.08	93356.64	93786.06	86400	0	45
2025.10.22	93786.04	94020.37	93690.78	93862.32	86400	0	45
2025.10.23	93862.30	93956.01	93669.25	93801.82	86400	0	45
2025.10.24	93801.80	94092.96	93738.75	94058.86	86400	0	45
2025.10.25	94058.84	94318.54	93987.70	94248.18	86401	0	45
2025.10.26	94248.16	94494.06	94232.10	94311.51	80307	0	45
2025.10.27	94311.49	94391.23	94086.40	94203.04	86399	0	45
2025.10.28	94203.02	94221.01	93840.57	93840.57	86400	0	45
2025.10.29	93840.55	93986.49	93741.41	93741.41	57068	0	45
