<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.04	100674.47	100826.61	100178.28	100276.48	86401	0	96
2025.03.05	100276.52	100587.19	100105.65	100395.74	86230	0	96
2025.03.06	100395.78	100398.22	99355.45	99588.90	86184	0	96
2025.03.07	99588.94	100067.55	99519.77	99818.89	86401	0	96
2025.03.08	99818.93	99890.60	99344.81	99464.92	86400	0	96
2025.03.09	99464.96	100048.25	99464.96	99769.78	86338	0	96
2025.03.10	99769.82	100112.82	99424.33	99748.21	86400	0	96
2025.03.11	99748.25	99828.06	99302.19	99752.64	86401	0	96
2025.03.12	99752.68	100062.38	99505.78	99726.63	86400	0	96
2025.03.13	99726.67	99869.08	99365.58	99781.74	86400	0	96
2025.03.14	99781.78	99989.28	99595.86	99804.30	86400	0	96
2025.03.15	99804.34	100239.11	99780.18	100112.65	86360	0	96
2025.03.16	100112.69	101187.32	100085.67	101104.07	86389	0	96
2025.03.17	101104.11	101529.77	100967.55	101006.31	86400	0	96
2025.03.18	101006.35	101596.56	100891.93	101277.52	86400	0	96
2025.03.19	101277.56	101367.89	100946.06	101261.79	86375	0	96
2025.03.20	101261.83	101473.70	100938.87	100981.25	86401	0	96
2025.03.21	100981.29	101293.44	100695.36	101278.37	86282	0	96
2025.03.22	101278.41	101608.64	101159.16	101273.52	86400	0	96
2025.03.23	101273.56	101935.78	101193.43	101695.25	86140	0	96
2025.03.24	101695.29	102348.15	101641.63	102068.78	86248	0	96
2025.03.25	102068.82	102748.95	102040.08	102464.76	85653	0	96
2025.03.26	102464.80	102633.71	102178.96	102427.22	86400	0	96
2025.03.27	102427.26	102518.02	101832.21	102001.46	86401	0	96
2025.03.28	102001.50	102416.33	101938.98	102401.86	86400	0	96
2025.03.29	102401.90	102570.74	102129.16	102311.43	86400	0	96
2025.03.30	102311.47	103033.25	102300.56	102971.71	80264	0	96
2025.03.31	102971.75	103235.80	102735.60	102755.32	86400	0	96
2025.04.01	102755.36	103074.99	102738.86	102777.60	86400	0	96
2025.04.02	102777.64	103682.53	102730.34	103632.26	86401	0	96
2025.04.03	103632.30	103894.73	103411.25	103598.62	86400	0	96
2025.04.04	103598.66	104331.92	103585.85	104320.73	86400	0	96
2025.04.05	104320.77	104808.43	104170.31	104650.02	86400	0	96
2025.04.06	104650.06	104863.89	104313.86	104686.38	86338	0	96
2025.04.07	104686.42	104749.47	104119.07	104352.36	86400	0	96
2025.04.08	104352.40	104722.00	104200.17	104425.08	86400	0	96
2025.04.09	104425.12	104710.69	104215.98	104591.91	86400	0	96
2025.04.10	104591.95	104926.11	104352.36	104411.85	86401	0	96
2025.04.11	104411.89	104694.17	104262.97	104584.56	86316	0	96
2025.04.12	104584.60	104879.25	104447.89	104625.61	86400	0	96
2025.04.13	104625.65	104867.63	104226.65	104437.09	86248	0	96
2025.04.14	104437.13	104686.67	104326.79	104479.53	86400	0	96
2025.04.15	104479.57	104836.94	104348.87	104533.11	86328	0	96
2025.04.16	104533.15	104568.78	103773.65	103940.52	86399	0	96
2025.04.17	103940.56	104134.82	103559.76	103603.34	86292	0	96
2025.04.18	103603.38	103791.95	102759.71	102912.86	86400	0	96
2025.04.19	102912.90	103024.71	102498.13	102712.34	86400	0	96
2025.04.20	102712.38	103353.47	102712.38	103256.45	86338	0	96
2025.04.21	103256.49	103653.92	102995.42	103108.40	86401	0	96
2025.04.22	103108.44	103829.99	103038.52	103692.12	86229	0	96
2025.04.23	103692.16	104522.01	103686.79	104518.79	86400	0	96
2025.04.24	104518.83	104799.86	104315.91	104489.10	86400	0	96
2025.04.25	104489.14	104758.22	104217.42	104643.93	86229	0	96
2025.04.26	104643.97	104683.17	103759.95	103973.23	86401	0	96
2025.04.27	103973.27	104160.96	103654.15	103805.55	86338	0	96
2025.04.28	103805.59	104142.46	103660.13	103707.29	86317	0	96
2025.04.29	103707.33	103943.43	103387.80	103788.60	86400	0	96
2025.04.30	103788.64	103823.20	103312.53	103459.17	86400	0	96
2025.05.01	103459.21	103492.89	102798.56	102814.78	86401	0	96
2025.05.02	102814.82	102952.22	102357.98	102608.06	86400	0	96
2025.05.03	102608.10	103124.98	102598.87	102935.21	86400	0	96
2025.05.04	102935.25	103033.78	102695.47	102995.50	86335	0	96
2025.05.05	102995.54	103655.25	102889.39	103427.02	86401	0	96
2025.05.06	103427.06	103787.88	103308.46	103588.38	86400	0	96
2025.05.07	103588.42	103754.64	103187.87	103253.36	86400	0	96
2025.05.08	103253.40	103267.29	102442.40	102817.90	86400	0	96
2025.05.09	102817.94	102898.14	102184.00	102442.19	86401	0	96
2025.05.10	102442.23	102545.87	101434.92	101491.92	86400	0	96
2025.05.11	101491.96	101594.29	101287.12	101510.02	86189	0	96
2025.05.12	101510.06	101625.33	101127.95	101408.52	86401	0	96
2025.05.13	101408.56	101469.17	100577.73	100586.97	86400	0	96
2025.05.14	100587.01	100617.75	99999.26	100095.75	86400	0	96
2025.05.15	100095.79	100218.46	99751.96	100158.43	86400	0	96
2025.05.16	100158.47	100806.29	100127.14	100693.55	86401	0	96
2025.05.17	100693.59	101292.01	100677.54	100951.00	86371	0	96
2025.05.18	100951.04	101651.80	100820.20	101329.01	86337	0	96
2025.05.19	101329.05	102034.86	101321.78	101933.48	86401	0	96
2025.05.20	101933.52	102347.05	101933.52	102318.39	86400	0	96
2025.05.21	102318.43	102387.71	101857.37	102164.75	86400	0	96
2025.05.22	102164.79	102488.53	101869.53	101952.91	86401	0	96
2025.05.23	101952.95	102369.05	101734.41	101775.69	86400	0	96
2025.05.24	101775.73	102224.81	101775.73	102135.75	86400	0	96
2025.05.25	102135.79	102139.51	101524.16	101840.71	86336	0	96
2025.05.26	101840.75	102440.60	101713.65	102179.70	86400	0	96
2025.05.27	102179.74	102597.17	102176.98	102337.14	86360	0	96
2025.05.28	102337.18	103262.21	102222.39	103052.28	86352	0	96
2025.05.29	103052.32	103075.97	102308.35	102598.85	86400	0	96
2025.05.30	102598.89	102633.57	101755.65	101847.74	86274	0	96
2025.05.31	101847.78	101946.29	101241.84	101784.67	86320	0	96
2025.06.01	101784.71	102190.03	101719.86	102190.03	86114	0	96
2025.06.02	102190.07	102211.67	101041.50	101222.41	86400	0	96
2025.06.03	101222.45	101597.32	101128.21	101201.74	86401	0	96
2025.06.04	101201.78	101240.31	100749.59	100955.81	86400	0	96
2025.06.05	100955.85	101550.07	100955.85	101420.60	86400	0	96
2025.06.06	101420.64	101691.50	101245.92	101657.58	86400	0	96
2025.06.07	101657.62	102334.71	101458.44	102275.46	86400	0	96
2025.06.08	102275.50	102666.05	102057.75	102559.07	86400	0	96
2025.06.09	102559.11	102714.13	102331.53	102693.25	86400	0	96
2025.06.10	102693.29	103082.43	102511.25	102602.87	86400	0	96
2025.06.11	102602.91	102783.00	101760.77	102066.85	86400	0	96
2025.06.12	102066.89	102765.90	102059.45	102676.59	86401	0	96
2025.06.13	102676.63	103387.44	102560.78	103381.73	86400	0	96
2025.06.14	103381.77	104386.64	103329.90	104333.64	86400	0	96
2025.06.15	104333.68	104666.15	104200.98	104570.01	85798	0	96
2025.06.16	104570.05	104862.00	104277.40	104358.76	86389	0	96
2025.06.17	104358.80	104793.86	104303.21	104518.97	86400	0	96
2025.06.18	104519.01	104526.57	103920.04	104305.91	86398	0	96
2025.06.19	104305.95	104474.53	104063.10	104178.68	86400	0	96
2025.06.20	104178.72	104443.20	104033.95	104092.16	86400	0	96
2025.06.21	104092.20	104417.37	103920.16	104417.37	86400	0	96
2025.06.22	104417.41	104512.55	103971.62	104444.50	86318	0	96
2025.06.23	104444.54	104606.46	104048.08	104262.46	86400	0	96
2025.06.24	104262.50	104295.66	103773.47	104021.92	86400	0	96
2025.06.25	104021.96	104140.31	103230.36	103443.31	86400	0	96
2025.06.26	103443.35	103609.87	103006.56	103063.24	86400	0	96
2025.06.27	103063.28	103304.51	102694.73	102871.32	86401	0	96
2025.06.28	102871.36	102977.09	102595.37	102733.95	86259	0	96
2025.06.29	102733.99	103068.58	102543.12	102616.10	86318	0	96
2025.06.30	102616.14	103323.40	102502.06	103247.74	86401	0	96
2025.07.01	103247.78	103626.35	103046.56	103356.72	86400	0	96
2025.07.02	103356.76	103567.27	102831.82	103041.52	86400	0	96
2025.07.03	103041.56	103091.00	102544.83	102888.25	86347	0	96
2025.07.04	102888.29	103995.20	102888.29	103995.20	86401	0	96
2025.07.05	103995.24	104224.24	103774.18	103799.28	86388	0	96
2025.07.06	103799.32	104442.95	103799.32	104217.15	86394	0	96
2025.07.07	104217.19	104440.15	103642.46	103706.60	86400	0	96
2025.07.08	103706.64	104161.58	103578.06	103673.66	86400	0	96
2025.07.09	103673.70	103680.06	103070.83	103163.89	86401	0	96
2025.07.10	103163.93	103397.33	102983.76	103149.41	86400	0	96
2025.07.11	103149.45	103481.60	102903.01	103279.92	86400	0	96
2025.07.12	103279.96	103316.59	102850.99	103120.10	86330	0	96
2025.07.13	103120.14	103138.57	102763.63	102926.26	86328	0	96
2025.07.14	102926.30	103457.81	102761.49	103363.31	86401	0	96
2025.07.15	103363.35	103782.47	103363.35	103698.31	86217	0	96
2025.07.16	103698.35	103961.76	103555.71	103739.19	86400	0	96
2025.07.17	103739.23	104342.72	103698.20	104144.63	86401	0	96
2025.07.18	104144.67	104677.12	103934.77	103975.69	86400	0	96
2025.07.19	103975.73	104148.48	103491.93	103692.47	86400	0	96
2025.07.20	103692.51	103904.22	103082.37	103282.46	86399	0	96
2025.07.21	103282.50	103515.98	102938.77	103158.78	86399	0	96
2025.07.22	103158.82	103629.57	103149.93	103547.92	86401	0	96
2025.07.23	103547.96	103945.34	103361.71	103698.91	86400	0	96
2025.07.24	103698.95	104670.83	103649.07	104670.83	86400	0	96
2025.07.25	104670.87	105196.19	104321.62	105180.41	86400	0	96
2025.07.26	105180.45	105510.45	105023.69	105444.11	86401	0	96
