<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.20	94964.78	94967.66	94649.84	94936.57	86338	0	45
2025.04.21	94936.59	95033.22	94688.32	94764.83	86401	0	45
2025.04.22	94764.85	94905.78	94715.00	94798.55	86243	0	45
2025.04.23	94798.57	94913.54	94500.60	94532.68	86400	0	45
2025.04.24	94532.70	94646.62	94462.03	94535.95	86400	0	45
2025.04.25	94535.97	94763.98	94532.15	94702.30	86229	0	45
2025.04.26	94702.32	94812.73	94373.57	94417.10	86401	0	45
2025.04.27	94417.12	94592.28	94182.21	94222.99	86338	0	45
2025.04.28	94223.01	94286.57	93996.68	94039.86	86318	0	45
2025.04.29	94039.88	94206.28	94015.34	94180.17	86400	0	45
2025.04.30	94180.19	94391.35	94105.79	94134.85	86400	0	45
2025.05.01	94134.87	94318.79	94069.98	94201.63	86401	0	45
2025.05.02	94201.65	94414.40	94167.77	94267.91	86400	0	45
2025.05.03	94267.93	94386.22	94073.04	94135.06	86400	0	45
2025.05.04	94135.08	94283.00	94013.75	94185.69	86336	0	45
2025.05.05	94185.71	94405.34	94158.84	94353.37	86401	0	45
2025.05.06	94353.39	94459.77	93941.58	94028.46	86400	0	45
2025.05.07	94028.48	94117.07	93727.73	93753.57	86400	0	45
2025.05.08	93753.59	94156.56	93721.52	94109.27	86400	0	45
2025.05.09	94109.29	94490.44	94055.19	94219.16	86401	0	45
2025.05.10	94219.18	94517.39	94189.40	94501.89	86400	0	45
2025.05.11	94501.91	94533.92	94064.17	94125.01	86192	0	45
2025.05.12	94125.03	94358.86	94125.03	94275.54	86401	0	45
2025.05.13	94275.56	94285.20	93991.05	94024.47	86400	0	45
2025.05.14	94024.49	94428.96	94006.43	94404.19	86400	0	45
2025.05.15	94404.21	94497.13	94135.67	94183.65	86400	0	45
2025.05.16	94183.67	94387.27	94171.50	94351.34	86401	0	45
2025.05.17	94351.36	94498.86	94185.29	94270.25	86371	0	45
2025.05.18	94270.27	94832.63	94224.00	94586.10	86338	0	45
2025.05.19	94586.12	94791.56	94455.74	94544.31	86401	0	45
2025.05.20	94544.33	94792.52	94544.33	94590.25	86400	0	45
2025.05.21	94590.27	94869.08	94546.81	94855.36	86400	0	45
2025.05.22	94855.38	94879.90	94609.33	94742.50	86401	0	45
2025.05.23	94742.52	94762.62	94477.91	94524.42	86400	0	45
2025.05.24	94524.44	94587.84	94286.55	94442.07	86400	0	45
2025.05.25	94442.09	94501.76	94261.49	94459.21	86337	0	45
2025.05.26	94459.23	94542.97	94221.69	94526.88	86400	0	45
2025.05.27	94526.90	94536.40	94177.93	94247.40	86344	0	45
2025.05.28	94247.42	94354.76	94061.23	94098.76	86352	0	45
2025.05.29	94098.78	94355.71	93967.68	94296.19	86387	0	45
2025.05.30	94296.21	94325.31	93975.14	93975.34	86276	0	45
2025.05.31	93975.36	94045.14	93751.38	93753.36	86321	0	45
2025.06.01	93753.38	93944.07	93628.75	93923.57	86117	0	45
2025.06.02	93923.59	94017.24	93798.38	93989.31	86400	0	45
2025.06.03	93989.33	93996.22	93627.43	93630.68	86401	0	45
2025.06.04	93630.70	93843.18	93583.38	93667.94	86400	0	45
2025.06.05	93667.96	93779.48	93370.77	93371.41	86400	0	45
2025.06.06	93371.43	93375.39	93068.66	93152.67	86400	0	45
2025.06.07	93152.69	93340.63	93103.21	93165.10	86400	0	45
