<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.18	95194.20	95198.04	94708.41	94920.75	86337	0	63
2025.05.19	94920.72	95033.18	94729.11	94753.78	86401	0	63
2025.05.20	94753.75	94924.16	94307.56	94436.52	86400	0	63
2025.05.21	94436.49	94810.43	94413.36	94615.40	86400	0	63
2025.05.22	94615.37	94894.32	94558.31	94818.49	86401	0	63
2025.05.23	94818.46	94849.15	94500.05	94629.40	86400	0	63
2025.05.24	94629.37	94805.85	94469.29	94634.37	86400	0	63
2025.05.25	94634.34	94680.56	94060.69	94147.39	86336	0	63
2025.05.26	94147.36	94261.36	93996.65	94191.76	86400	0	63
2025.05.27	94191.73	94358.81	94064.12	94224.72	86360	0	63
2025.05.28	94224.69	94411.22	94093.45	94379.11	86352	0	63
2025.05.29	94379.08	94742.63	94375.42	94509.65	86400	0	63
2025.05.30	94509.62	94779.22	94410.75	94586.10	86285	0	63
2025.05.31	94586.07	94626.20	94288.92	94371.82	86319	0	63
2025.06.01	94371.79	94918.15	94227.18	94906.87	86130	0	63
2025.06.02	94906.84	94974.25	94650.28	94797.34	86400	0	63
2025.06.03	94797.31	94906.49	94721.08	94778.24	86401	0	63
2025.06.04	94778.21	95009.84	94607.61	94853.13	86400	0	63
2025.06.05	94853.10	95056.05	94734.59	95004.34	86400	0	63
2025.06.06	95004.31	95281.78	94982.08	95218.99	86400	0	63
2025.06.07	95218.96	95402.05	94967.44	95144.68	86400	0	63
2025.06.08	95144.65	95144.65	94650.14	94839.88	86400	0	63
2025.06.09	94839.85	94997.21	94598.96	94820.94	86400	0	63
2025.06.10	94820.91	94913.05	94495.20	94608.02	86400	0	63
2025.06.11	94607.99	94931.07	94478.48	94850.66	86400	0	63
2025.06.12	94850.63	94974.54	94714.22	94971.54	86401	0	63
2025.06.13	94971.51	95459.38	94944.18	95409.34	86400	0	63
2025.06.14	95409.31	95409.31	95014.63	95324.85	86400	0	63
2025.06.15	95324.82	95534.46	95216.54	95317.89	85840	0	63
2025.06.16	95317.86	95991.30	95288.64	95858.39	86400	0	63
2025.06.17	95858.36	95956.82	95533.36	95804.11	86400	0	63
2025.06.18	95804.08	96114.70	95732.23	95817.35	86401	0	63
2025.06.19	95817.32	96030.21	95674.53	95977.00	86400	0	63
2025.06.20	95976.97	96109.70	95742.74	95878.34	86400	0	63
2025.06.21	95878.31	96050.52	95751.45	95886.33	86400	0	63
2025.06.22	95886.30	95972.14	95613.86	95747.67	86318	0	63
2025.06.23	95747.64	95835.81	95391.66	95475.54	86400	0	63
2025.06.24	95475.51	96127.92	95453.55	96104.57	86400	0	63
2025.06.25	96104.54	96361.35	95883.51	95883.51	86400	0	63
2025.06.26	95883.48	95904.70	95575.44	95655.33	86400	0	63
2025.06.27	95655.30	95781.32	95430.16	95511.35	86389	0	63
2025.06.28	95511.32	95565.40	95114.28	95176.14	86259	0	63
2025.06.29	95176.11	95256.34	94725.13	94799.23	86318	0	63
2025.06.30	94799.20	94845.99	94563.69	94706.76	86401	0	63
2025.07.01	94706.73	94931.24	94274.85	94274.85	86400	0	63
2025.07.02	94274.82	94306.36	94053.00	94116.50	86400	0	63
2025.07.03	94116.47	94363.39	94107.45	94178.98	86368	0	63
2025.07.04	94178.95	95053.73	94165.51	94983.27	86381	0	63
2025.07.05	94983.24	95107.74	94657.78	94665.39	86388	0	63
2025.07.06	94665.36	95153.94	94646.28	95012.91	86394	0	63
2025.07.07	95012.88	95073.71	94835.04	95009.28	86400	0	63
2025.07.08	95009.25	95125.62	94745.60	94814.09	86400	0	63
2025.07.09	94814.06	94875.09	94262.92	94300.35	86401	0	63
2025.07.10	94300.32	94392.97	94195.49	94364.48	86400	0	63
2025.07.11	94364.45	94769.79	94302.01	94619.61	86400	0	63
2025.07.12	94619.58	94813.23	94396.91	94436.14	86330	0	63
2025.07.13	94436.11	94605.33	94375.21	94514.44	86328	0	63
2025.07.14	94514.41	94825.28	94395.09	94683.85	86401	0	63
2025.07.15	94683.82	94716.27	94422.78	94664.59	86272	0	63
2025.07.16	94664.56	94703.01	94239.91	94345.50	86400	0	63
2025.07.17	94345.47	95123.29	94344.18	94887.31	86401	0	63
2025.07.18	94887.28	94945.92	94317.92	94380.86	86400	0	63
2025.07.19	94380.83	94446.22	94086.46	94133.43	86400	0	63
2025.07.20	94133.40	94224.51	93790.33	93853.62	86399	0	63
2025.07.21	93853.59	94049.08	93818.89	93911.37	86399	0	63
2025.07.22	93911.34	94395.98	93829.97	94375.49	86401	0	63
2025.07.23	94375.46	94677.92	94356.33	94537.90	86400	0	63
2025.07.24	94537.87	94544.03	93954.73	93954.73	86400	0	63
2025.07.25	93954.70	94110.42	93516.70	93516.70	86400	0	63
2025.07.26	93516.67	93639.61	92971.54	93111.52	86401	0	63
2025.07.27	93111.49	93285.04	92955.18	93229.49	86400	0	63
2025.07.28	93229.46	93333.10	92982.60	93240.67	86400	0	63
2025.07.29	93240.64	93431.71	93034.00	93325.92	86400	0	63
2025.07.30	93325.89	93853.98	93230.28	93842.04	86400	0	63
2025.07.31	93842.01	94194.16	93805.53	94048.65	86401	0	63
2025.08.01	94048.62	94299.90	93768.50	94274.94	86400	0	63
2025.08.02	94274.91	94366.95	94072.73	94339.87	86400	0	63
2025.08.03	94339.84	94430.97	94122.40	94318.85	86262	0	63
2025.08.04	94318.82	94329.14	93897.53	94020.97	86399	0	63
2025.08.05	94020.94	94275.36	93939.91	94253.79	86401	0	63
2025.08.06	94253.76	94280.94	94059.63	94194.33	86400	0	63
2025.08.07	94194.30	94215.06	93803.33	93811.22	86400	0	63
2025.08.08	93811.19	94158.85	93707.40	94018.95	86400	0	63
2025.08.09	94018.92	94159.67	93816.50	93885.16	86400	0	63
2025.08.10	93885.13	94067.80	93503.09	93792.85	86338	0	63
2025.08.11	93792.82	93851.51	93519.68	93674.07	86400	0	63
2025.08.12	93674.04	93678.40	93314.63	93400.71	86400	0	63
2025.08.13	93400.68	93550.51	93314.68	93463.42	86400	0	63
2025.08.14	93463.39	93805.96	93457.99	93572.19	86401	0	63
2025.08.15	93572.16	93784.30	93494.20	93695.24	86400	0	63
2025.08.16	93695.21	93740.30	93355.22	93360.28	86388	0	63
2025.08.17	93360.25	93382.39	92761.92	92788.59	86240	0	63
2025.08.18	92788.56	92788.56	92140.97	92343.48	86399	0	63
2025.08.19	92343.45	92624.86	92197.07	92435.99	86401	0	63
2025.08.20	92435.96	92673.78	92431.79	92475.73	86400	0	63
2025.08.21	92475.70	92732.42	92433.82	92652.81	86400	0	63
2025.08.22	92652.78	92705.45	92235.11	92315.89	86400	0	63
2025.08.23	92315.86	92539.49	92150.72	92451.74	86400	0	63
2025.08.24	92451.71	92617.47	92174.58	92288.31	86399	0	63
2025.08.25	92288.28	92610.28	92197.17	92338.07	86401	0	63
2025.08.26	92338.04	92458.30	92165.31	92204.70	86400	0	63
2025.08.27	92204.67	92242.83	91657.41	91694.89	86400	0	63
2025.08.28	91694.86	91772.14	91543.98	91688.23	86400	0	63
2025.08.29	91688.20	91902.42	91519.85	91841.35	86400	0	63
2025.08.30	91841.32	91864.15	91668.42	91737.19	85872	0	63
