"<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.07.08	98714.57	99150.29	98560.81	99050.00	86400	0	78"
"2025.07.09	99049.94	99447.97	98511.70	99418.81	86401	0	78"
"2025.07.10	99418.75	99851.27	99264.92	99521.66	86400	0	78"
"2025.07.11	99521.60	99721.97	99337.27	99517.17	86400	0	78"
"2025.07.12	99517.11	99764.97	98772.08	98968.23	86330	0	78"
"2025.07.13	98968.17	99944.44	98807.72	99736.03	86328	0	78"
"2025.07.14	99735.97	99982.36	99482.62	99672.20	86401	0	78"
"2025.07.15	99672.14	99882.45	99457.63	99606.22	86272	0	78"
"2025.07.16	99606.16	99680.31	99284.78	99295.52	86400	0	78"
"2025.07.17	99295.46	100037.31	99265.58	99988.53	86401	0	78"
"2025.07.18	99988.47	100312.78	99923.65	100013.64	86400	0	78"
"2025.07.19	100013.58	100163.25	99417.57	99482.23	86400	0	78"
"2025.07.20	99482.17	99854.81	99273.23	99609.38	86399	0	78"
"2025.07.21	99609.32	99923.07	99394.51	99698.96	86399	0	78"
"2025.07.22	99698.90	99884.79	99469.29	99584.44	86401	0	78"
"2025.07.23	99584.38	99827.63	99422.27	99761.48	86400	0	78"
"2025.07.24	99761.42	100527.76	99632.87	100513.05	86400	0	78"
"2025.07.25	100512.99	100914.74	100415.30	100590.90	86400	0	78"
"2025.07.26	100590.84	100771.61	100149.89	100362.66	86401	0	78"
"2025.07.27	100362.60	100658.56	100225.61	100521.56	86400	0	78"
"2025.07.28	100521.50	100635.08	100168.55	100366.94	86400	0	78"
"2025.07.29	100366.88	100744.94	100296.00	100433.31	86400	0	78"
"2025.07.30	100433.25	100669.13	100258.91	100514.93	86400	0	78"
"2025.07.31	100514.87	100693.70	100320.01	100420.20	86401	0	78"
"2025.08.01	100420.14	100805.40	100328.23	100722.89	86400	0	78"
"2025.08.02	100722.83	101126.93	100676.91	101113.01	86400	0	78"
"2025.08.03	101112.95	101662.68	100915.96	101598.92	86262	0	78"
"2025.08.04	101598.86	101802.02	101367.11	101393.44	86399	0	78"
"2025.08.05	101393.38	101532.57	101171.43	101391.10	86401	0	78"
"2025.08.06	101391.04	102025.30	101251.53	101942.14	86400	0	78"
"2025.08.07	101942.08	102723.61	101770.96	102688.76	86400	0	78"
"2025.08.08	102688.70	103135.98	102619.23	102877.93	86400	0	78"
"2025.08.09	102877.87	103411.91	102644.01	103270.88	86400	0	78"
"2025.08.10	103270.82	103435.86	102919.26	103185.34	86338	0	78"
"2025.08.11	103185.28	103539.47	103116.83	103501.78	86400	0	78"
"2025.08.12	103501.72	103629.98	103219.10	103299.61	86400	0	78"
"2025.08.13	103299.55	103536.82	103188.58	103478.44	86400	0	78"
"2025.08.14	103478.38	103984.56	103371.71	103392.24	86401	0	78"
"2025.08.15	103392.18	103863.69	103249.22	103386.25	86400	0	78"
"2025.08.16	103386.19	103408.82	102609.79	102666.96	86388	0	78"
"2025.08.17	102666.90	102729.33	101569.84	101713.72	86242	0	78"
"2025.08.18	101713.66	101803.33	101390.68	101726.69	86399	0	78"
"2025.08.19	101726.63	101732.33	101171.74	101171.74	86401	0	78"
"2025.08.20	101171.68	101832.36	101118.56	101708.54	86400	0	78"
"2025.08.21	101708.48	102334.00	101496.93	102189.09	86400	0	78"
"2025.08.22	102189.03	102676.00	102172.59	102374.35	86400	0	78"
"2025.08.23	102374.29	102474.61	102151.22	102368.05	86400	0	78"
"2025.08.24	102367.99	102602.59	102119.81	102286.58	86399	0	78"
"2025.08.25	102286.52	102911.81	102221.48	102679.03	86401	0	78"
"2025.08.26	102678.97	102821.05	102285.70	102421.93	86400	0	78"
"2025.08.27	102421.87	102547.59	102027.38	102105.34	86400	0	78"
"2025.08.28	102105.28	102322.97	101990.30	102059.03	86400	0	78"
"2025.08.29	102058.97	102136.11	101385.45	101398.76	86400	0	78"
"2025.08.30	101398.70	101584.17	101065.15	101384.17	85872	0	78"
"2025.08.31	101384.11	101762.96	101290.49	101761.16	86378	0	78"
"2025.09.01	101761.10	101960.22	101461.22	101837.82	86400	0	78"
"2025.09.02	101837.76	101838.23	101294.19	101415.30	86400	0	78"
"2025.09.03	101415.24	101463.63	100847.32	101223.12	86400	0	78"
"2025.09.04	101223.06	101964.09	101047.57	101853.84	86400	0	78"
"2025.09.05	101853.78	101865.36	101434.97	101688.39	86401	0	78"
"2025.09.06	101688.33	102147.19	101550.19	102147.19	86400	0	78"
"2025.09.07	102147.13	102427.69	101915.96	102231.79	86399	0	78"
"2025.09.08	102231.73	102430.46	101715.34	101945.39	86400	0	78"
"2025.09.09	101945.33	102885.68	101931.00	102790.72	86400	0	78"
"2025.09.10	102790.66	103578.63	102724.60	103359.10	86401	0	78"
"2025.09.11	103359.04	103441.42	102871.51	103199.76	86400	0	78"
"2025.09.12	103199.70	103693.14	103038.63	103376.69	86400	0	78"
"2025.09.13	103376.63	103449.39	102777.05	102778.09	75219	0	78"
"2025.09.14	102778.03	103425.97	102745.89	103173.48	86063	0	78"
"2025.09.15	103173.42	103309.15	102924.92	103306.57	86400	0	78"
"2025.09.16	103306.51	103544.05	103137.79	103328.95	86401	0	78"
"2025.09.17	103328.89	103400.82	102537.51	102625.89	86400	0	78"
"2025.09.18	102625.83	102711.54	102308.95	102588.69	86401	0	78"
"2025.09.19	102588.63	102695.11	102234.28	102530.00	86400	0	78"
"2025.09.20	102529.94	102813.64	102354.86	102581.93	75730	0	78"
"2025.09.21	102581.87	102605.40	102061.38	102209.89	86143	0	78"
"2025.09.22	102209.83	102748.93	102099.02	102685.68	86401	0	78"
"2025.09.23	102685.62	102872.31	102303.83	102383.00	86400	0	78"
"2025.09.24	102382.94	102441.94	102012.29	102422.26	86400	0	78"
"2025.09.25	102422.20	102693.82	102212.75	102346.22	86400	0	78"
"2025.09.26	102346.16	102434.09	101564.80	101892.80	86400	0	78"
"2025.09.27	101892.74	102517.08	101606.99	102133.58	86387	0	78"
"2025.09.28	102133.52	102602.98	101939.25	102589.03	86399	0	78"
"2025.09.29	102588.97	103073.19	102535.09	103034.78	86400	0	78"
"2025.09.30	103034.72	103228.15	102786.62	103027.15	86400	0	78"
"2025.10.01	103027.09	103130.39	102608.87	103015.07	86401	0	78"
"2025.10.02	103015.01	103391.23	102873.97	103198.62	86400	0	78"
"2025.10.03	103198.56	103465.09	103040.88	103117.83	86400	0	78"
