"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.09.04	05:00:00	101616.45	101664.24	101606.31	101648.58	900	0	78"
"2025.09.04	05:15:00	101648.52	101661.77	101627.22	101641.97	900	0	78"
"2025.09.04	05:30:00	101641.91	101641.91	101595.41	101605.74	900	0	78"
"2025.09.04	05:45:00	101605.68	101618.25	101566.95	101566.95	900	0	78"
"2025.09.04	06:00:00	101566.89	101632.32	101563.71	101616.90	900	0	78"
"2025.09.04	06:15:00	101616.84	101626.02	101592.06	101596.92	900	0	78"
"2025.09.04	06:30:00	101596.86	101618.08	101584.80	101590.12	900	0	78"
"2025.09.04	06:45:00	101590.06	101612.71	101564.56	101604.91	900	0	78"
"2025.09.04	07:00:00	101604.85	101643.00	101598.45	101622.60	900	0	78"
"2025.09.04	07:15:00	101622.54	101661.56	101603.28	101638.52	900	0	78"
"2025.09.04	07:30:00	101638.46	101757.34	101617.22	101731.18	900	0	78"
"2025.09.04	07:45:00	101731.12	101731.12	101681.80	101696.61	900	0	78"
"2025.09.04	08:00:00	101696.55	101764.24	101687.19	101752.60	900	0	78"
"2025.09.04	08:15:00	101752.54	101784.94	101747.48	101779.48	900	0	78"
"2025.09.04	08:30:00	101779.42	101789.58	101742.00	101742.00	900	0	78"
"2025.09.04	08:45:00	101741.94	101741.94	101688.00	101688.00	900	0	78"
"2025.09.04	09:00:00	101687.94	101687.94	101647.10	101647.10	900	0	78"
"2025.09.04	09:15:00	101647.04	101715.81	101634.45	101702.07	900	0	78"
"2025.09.04	09:30:00	101702.01	101740.18	101660.49	101738.86	900	0	78"
"2025.09.04	09:45:00	101738.80	101738.80	101709.22	101721.87	900	0	78"
"2025.09.04	10:00:00	101721.81	101721.81	101680.62	101680.62	900	0	78"
"2025.09.04	10:15:00	101680.56	101680.56	101642.22	101646.93	900	0	78"
"2025.09.04	10:30:00	101646.87	101646.87	101592.93	101592.93	900	0	78"
"2025.09.04	10:45:00	101592.87	101593.08	101565.39	101585.97	900	0	78"
"2025.09.04	11:00:00	101585.91	101654.74	101581.41	101633.98	900	0	78"
"2025.09.04	11:15:00	101633.92	101648.70	101593.84	101647.56	900	0	78"
"2025.09.04	11:30:00	101647.50	101672.09	101626.32	101653.25	900	0	78"
"2025.09.04	11:45:00	101653.19	101674.34	101637.08	101651.40	900	0	78"
"2025.09.04	12:00:00	101651.34	101695.53	101648.22	101680.77	900	0	78"
"2025.09.04	12:15:00	101680.71	101680.71	101626.77	101626.77	900	0	78"
"2025.09.04	12:30:00	101626.71	101626.71	101572.77	101572.77	900	0	78"
"2025.09.04	12:45:00	101572.71	101572.78	101542.66	101542.66	900	0	78"
"2025.09.04	13:00:00	101542.60	101601.95	101518.96	101585.09	900	0	78"
"2025.09.04	13:15:00	101585.03	101585.03	101540.93	101562.70	900	0	78"
"2025.09.04	13:30:00	101562.64	101562.64	101531.50	101532.76	900	0	78"
"2025.09.04	13:45:00	101532.70	101578.43	101522.62	101557.21	900	0	78"
"2025.09.04	14:00:00	101557.15	101568.42	101540.76	101551.73	900	0	78"
"2025.09.04	14:15:00	101551.67	101562.93	101514.95	101560.41	900	0	78"
"2025.09.04	14:30:00	101560.35	101635.30	101542.00	101634.40	900	0	78"
"2025.09.04	14:45:00	101634.34	101634.34	101596.39	101625.11	900	0	78"
"2025.09.04	15:00:00	101625.05	101649.87	101605.73	101636.55	900	0	78"
"2025.09.04	15:15:00	101636.49	101657.08	101613.33	101643.58	900	0	78"
"2025.09.04	15:30:00	101643.52	101664.02	101628.14	101635.46	900	0	78"
"2025.09.04	15:45:00	101635.40	101680.60	101631.28	101677.84	900	0	78"
"2025.09.04	16:00:00	101677.78	101707.40	101664.04	101699.90	900	0	78"
"2025.09.04	16:15:00	101699.84	101700.50	101666.36	101691.98	900	0	78"
"2025.09.04	16:30:00	101691.92	101726.28	101672.72	101719.42	900	0	78"
"2025.09.04	16:45:00	101719.36	101758.87	101717.50	101738.98	900	0	78"
"2025.09.04	17:00:00	101738.92	101770.15	101724.88	101766.97	900	0	78"
"2025.09.04	17:15:00	101766.91	101864.03	101753.59	101836.31	900	0	78"
"2025.09.04	17:30:00	101836.25	101930.70	101833.19	101915.04	900	0	78"
"2025.09.04	17:45:00	101937.03	101962.19	101910.81	101953.39	900	0	78"
"2025.09.04	18:00:00	101953.33	101953.33	101899.39	101899.39	900	0	78"
"2025.09.04	18:15:00	101899.33	101899.33	101845.39	101845.39	900	0	78"
"2025.09.04	18:30:00	101845.33	101872.07	101836.21	101862.83	900	0	78"
"2025.09.04	18:45:00	101862.77	101877.70	101827.85	101863.96	900	0	78"
"2025.09.04	19:00:00	101863.90	101863.90	101828.10	101828.10	900	0	78"
"2025.09.04	19:15:00	101828.04	101944.84	101821.14	101937.76	900	0	78"
"2025.09.04	19:30:00	101937.70	101964.09	101914.78	101963.85	900	0	78"
"2025.09.04	19:45:00	101963.79	101963.79	101925.97	101925.97	900	0	78"
"2025.09.04	20:00:00	101925.91	101925.91	101882.77	101886.14	900	0	78"
"2025.09.04	20:15:00	101886.08	101902.71	101868.33	101868.33	900	0	78"
"2025.09.04	20:30:00	101868.27	101868.27	101821.59	101842.13	900	0	78"
"2025.09.04	20:45:00	101842.07	101907.18	101812.73	101898.72	900	0	78"
"2025.09.04	21:00:00	101898.66	101924.63	101877.38	101924.09	900	0	78"
"2025.09.04	21:15:00	101924.03	101956.67	101917.19	101946.89	900	0	78"
"2025.09.04	21:30:00	101946.83	101949.66	101920.67	101941.68	900	0	78"
"2025.09.04	21:45:00	101941.62	101951.23	101919.30	101919.30	900	0	78"
"2025.09.04	22:00:00	101919.24	101919.24	101873.64	101882.09	900	0	78"
"2025.09.04	22:15:00	101882.03	101935.78	101870.63	101910.88	900	0	78"
"2025.09.04	22:30:00	101910.82	101925.29	101885.87	101908.40	900	0	78"
"2025.09.04	22:45:00	101908.34	101908.34	101854.40	101854.40	900	0	78"
"2025.09.04	23:00:00	101854.34	101877.41	101841.08	101856.49	900	0	78"
"2025.09.04	23:15:00	101856.43	101856.43	101804.05	101825.56	900	0	78"
"2025.09.04	23:30:00	101825.50	101858.06	101791.48	101840.66	900	0	78"
"2025.09.04	23:45:00	101840.60	101871.96	101808.74	101853.84	900	0	78"
"2025.09.05	00:00:00	101853.78	101853.78	101814.24	101823.26	900	0	78"
"2025.09.05	00:15:00	101823.20	101823.20	101772.62	101799.07	900	0	78"
"2025.09.05	00:30:00	101799.01	101810.82	101775.12	101775.12	900	0	78"
"2025.09.05	00:45:00	101775.06	101775.06	101732.46	101747.28	900	0	78"
